time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-08-04T11:13:13.840Z,19.4158325,-155.2798309,0.25,3.81,ml,55,26,0.004419,0.31,hv,hv70520557,2018-08-04T18:57:17.340Z,"4km WSW of Volcano, Hawaii",earthquake,0.19,0.13,4.06,34,automatic,hv,hv
2018-08-04T11:11:59.200Z,19.4220009,-155.2725067,0.67,3.41,ml,50,43,0.005521,0.19,hv,hv70520552,2018-08-04T19:01:49.402Z,"3km WSW of Volcano, Hawaii",earthquake,0.23,0.17,3.49,39,automatic,hv,hv
2018-08-04T11:09:56.943Z,56.3526,-149.3979,5.4,2.7,ml,,,,0.85,ak,ak20005790,2018-08-04T22:37:22.318Z,"242km SE of Kodiak, Alaska",earthquake,,5.5,,,reviewed,ak,ak
2018-08-04T11:09:47.800Z,19.4139996,-155.2474976,0.31,2.62,ml,22,133,0.01184,0.33,hv,hv70520547,2018-08-04T11:15:31.350Z,"2km SSW of Volcano, Hawaii",earthquake,0.34,0.42,0.48,17,automatic,hv,hv
2018-08-04T11:07:23.550Z,19.4293327,-155.2584991,0.85,2.81,ml,28,81,0.006673,0.34,hv,hv70520537,2018-08-04T19:09:53.704Z,"2km W of Volcano, Hawaii",earthquake,0.54,0.28,0.47,23,automatic,hv,hv
2018-08-04T11:07:10.540Z,19.420166,-155.2698364,0.9,2.69,ml,22,55,0.00717,0.11,hv,hv70520527,2018-08-04T19:09:58.360Z,"3km WSW of Volcano, Hawaii",earthquake,0.27,0.16,1.95,26,automatic,hv,hv
2018-08-04T11:01:58.240Z,19.4064999,-155.2655029,0.48,3.18,ml,48,30,0.007687,0.37,hv,hv70520522,2018-08-04T11:07:38.040Z,"3km SW of Volcano, Hawaii",earthquake,0.25,0.23,2.84,32,automatic,hv,hv
2018-08-04T10:56:42.170Z,19.3998337,-155.272995,2.05,3.4,ml,54,28,0.004484,0.18,hv,hv70520512,2018-08-04T11:27:56.040Z,"5km SW of Volcano, Hawaii",earthquake,0.2,0.16,3.31,37,automatic,hv,hv
2018-08-04T10:28:50.880Z,19.0346,-67.8003,66,3,md,10,327,0.8925,0.53,pr,pr2018216010,2018-08-04T17:33:47.350Z,"81km NE of Punta Cana, Dominican Republic",earthquake,5.99,16.04,0.34,8,reviewed,pr,pr
2018-08-04T10:27:09.280Z,13.2563,-90.7923,35,5.1,mww,,90,1.535,1.5,us,us1000g3dz,2018-08-04T14:31:28.125Z,"74km S of Puerto San Jose, Guatemala",earthquake,6.8,1.9,0.071,19,reviewed,us,us
2018-08-04T10:17:21.140Z,-14.3016,170.1857,619.39,4.7,mb,,52,8.302,0.68,us,us1000g3dv,2018-08-04T10:40:59.040Z,"288km E of Sola, Vanuatu",earthquake,10.9,8.2,0.036,232,reviewed,us,us
2018-08-04T10:13:14.720Z,19.3981667,-155.2704926,-0.26,2.77,ml,30,44,0.004074,0.25,hv,hv70520387,2018-08-04T10:18:55.610Z,"4km SW of Volcano, Hawaii",earthquake,0.19,0.21,0.44,17,automatic,hv,hv
2018-08-04T10:01:27.600Z,19.4053326,-155.2655029,0.55,2.66,ml,36,46,0.007071,0.18,hv,hv70520367,2018-08-04T10:07:07.570Z,"4km SW of Volcano, Hawaii",earthquake,0.22,0.17,3,29,automatic,hv,hv
2018-08-04T09:35:58.430Z,29.2034,57.2046,10,4.4,mb,,76,4.334,0.94,us,us1000g3dj,2018-08-04T10:20:56.040Z,"40km ESE of Kuh Sefid, Iran",earthquake,6.7,1.8,0.066,66,reviewed,us,us
2018-08-04T08:40:27.230Z,19.3955002,-155.2720032,-0.09,2.79,ml,42,38,0.001553,0.36,hv,hv70520142,2018-08-04T08:46:07.480Z,"5km SW of Volcano, Hawaii",earthquake,0.32,0.27,1.82,29,automatic,hv,hv
2018-08-04T08:36:44.520Z,19.3920002,-155.2631683,-0.16,2.6,ml,43,44,0.006772,0.29,hv,hv70520132,2018-08-04T08:42:29.490Z,"5km SSW of Volcano, Hawaii",earthquake,0.22,0.18,1.96,26,automatic,hv,hv
2018-08-04T08:10:24.090Z,19.3999996,-155.264328,0.24,2.6,ml,42,35,0.002376,0.21,hv,hv70520037,2018-08-04T08:16:05.840Z,"4km SW of Volcano, Hawaii",earthquake,0.25,0.21,1.93,26,automatic,hv,hv
2018-08-04T07:51:21.720Z,19.3928337,-155.2774963,1.65,3.02,ml,44,42,0.004426,0.27,hv,hv70519977,2018-08-04T08:17:47.040Z,"5km SW of Volcano, Hawaii",earthquake,0.28,0.26,2.76,34,automatic,hv,hv
2018-08-04T07:43:33.250Z,19.4088326,-155.276001,0.13,2.57,ml,39,32,0.01164,0.19,hv,hv70519947,2018-08-04T07:49:13.410Z,"4km WSW of Volcano, Hawaii",earthquake,0.15,0.14,0.4,18,automatic,hv,hv
2018-08-04T07:30:47.540Z,19.4366665,-155.2881622,0.61,2.74,ml,12,89,0.01549,0.21,hv,hv70519917,2018-08-04T07:36:27.100Z,"5km W of Volcano, Hawaii",earthquake,0.76,0.66,0.33,13,automatic,hv,hv
2018-08-04T07:28:34.410Z,19.4241657,-155.2646637,-0.35,3.56,ml,21,69,0.003689,0.28,hv,hv70519912,2018-08-04T09:30:52.486Z,"2km WSW of Volcano, Hawaii",earthquake,0.25,0.21,2.57,15,automatic,hv,hv
2018-08-04T07:26:19.600Z,19.4101658,-155.2603302,1.43,3.1,ml,29,37,0.001958,0.16,hv,hv70519897,2018-08-04T07:31:59.170Z,"3km SW of Volcano, Hawaii",earthquake,0.19,0.23,0.32,14,automatic,hv,hv
2018-08-04T07:22:34.860Z,19.3961658,-155.2803345,-0.2,3.61,ml,55,32,0.006366,0.3,hv,hv70519887,2018-08-04T09:24:25.311Z,"5km SW of Volcano, Hawaii",earthquake,0.17,0.21,3.56,37,automatic,hv,hv
